date,series_name,value
09/03/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
16/03/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
23/03/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
30/03/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
06/04/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
13/04/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
20/04/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
27/04/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
04/05/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
11/05/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
18/05/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
25/05/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
01/06/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
08/06/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
15/06/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
22/06/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
29/06/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
06/07/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
13/07/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
20/07/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
27/07/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
03/08/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
10/08/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
17/08/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
24/08/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
31/08/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
07/09/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
14/09/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
21/09/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
28/09/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
05/10/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
12/10/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
19/10/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
26/10/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
02/11/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
09/11/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
16/11/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
23/11/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
30/11/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
07/12/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
14/12/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
21/12/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
28/12/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
04/01/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
11/01/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
18/01/2021,"Seasonality_Martin Luther King, Jr. Day BH",1
25/01/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
01/02/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
08/02/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
15/02/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
22/02/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
01/03/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
08/03/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
15/03/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
22/03/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
29/03/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
05/04/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
12/04/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
19/04/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
26/04/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
03/05/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
10/05/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
17/05/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
24/05/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
31/05/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
07/06/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
14/06/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
21/06/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
28/06/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
05/07/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
12/07/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
19/07/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
26/07/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
02/08/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
09/08/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
16/08/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
23/08/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
30/08/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
06/09/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
13/09/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
20/09/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
27/09/2021,"Seasonality_Martin Luther King, Jr. Day BH",0
